MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1065.28	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	686.66	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	838.64	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	987.32	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	619.49	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1087.97	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1229.68	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	894.39	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	994.6	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	792.09	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	798.55	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	988.08	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1038.66	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	995.27	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	759.7	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	881.9	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	831.71	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1027.6	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	816.89	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	858.84	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	573.44	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	628.91	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1145.11	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	705.09	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	838.17	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	865.41	G_1_5
